PHASE 3 - INTEGRATIONS,,,,,,,,,,,,
Phase,Section,Task,Details / Acceptance Criteria,Owner,Blocker,Priority,Due Date,Status,Document Link,Client Note,Dee's Note,Team's Remarks
Phase 3,Social Channels,Connect Facebook page if included,"Verify access, connect, test inbound messages, route to GHL, apply source tags.",Tech Team,Conditional,Medium,4,,,,,
Phase 3,Social Channels,Connect Instagram if included,"Verify access, connect, test DMs, route social leads, apply source tags.",Tech Team,Conditional,Medium,4,,,,,
Phase 3,Social Channels,Connect TikTok if included,"Connect where supported, document limitations, set source tracking.",Tech Team,Conditional,Low,4,,,,,
Phase 3,Social Channels,Connect Google Business Profile if included,"Connect GBP/GMB, test messaging/reputation features where applicable.",Tech Team,Conditional,Medium,4,,,,,
Phase 3,ManyChat,Build ManyChat connection if included,"Connect ManyChat, map tags/fields, route leads into GHL, booking CTA, keyword triggers, opt-in logic.",Automation Team,Conditional,Medium,4,,,,,
Phase 3,Reputation,Build review request workflow,"Review link, GBP connection, positive review routing, negative feedback internal alert, post-service trigger.",Automation Team,Conditional,Medium,4,,,,,
Phase 3,Marketing Campaigns,Build lead nurture campaigns,"Credit education, funding nurture, commercial funding, clarity, reactivation, DIY product, membership/ebook follow-up as applicable.",Automation Team,Conditional,Medium,4,,,,,
Phase 3,Marketing Campaigns,Review marketing copy for risk,"Remove guarantees, income claims, credit score guarantees, funding guarantees, false urgency, misleading financial promises.",Compliance,Conditional,Critical,4,,,,,
Phase 3,AI,Configure AI chat if included,"AI chat setup, knowledge base, response rules, qualification logic, handoff, fallback, restricted claims list, testing.",Automation Team,Conditional,Medium,4,,,,,
Phase 3,AI,Test AI compliance guardrails,"AI must not give legal/financial advice, guarantee funding/credit outcomes, promise timelines, override holds, or send SMS without consent.",Compliance,Conditional,High,4,,,,,
Phase 3,Integrations,Build Zapier/Pabbly integrations if included,"Configure triggers/actions, field maps, test records, failure alerts, owner/fallback process.",Automation Team,Conditional,High,4,,,,,
Phase 3,Integrations,Build Google Sheets/Drive storage flows,"Lead/client exports, funding tracker, document routing, secure folder links, status updates as included.",Automation Team,Conditional,Medium,4,,,,,
Phase 3,Integrations,Build DisputeFox data flow if included,"Map fields, send lead/client/onboarding info, create internal tasks, store DisputeFox ID, test handoff, document limits.",Automation Team,Conditional,High,4,,,,,
Phase 3,Integrations,Build Slack/team alerts if included,"Route critical internal alerts for leads, docs, billing issues, compliance holds, complaints.",Automation Team,Conditional,Low,4,,,,,
Phase 3,Tracking,Connect GA4 if included,"GA4 installed, page view and conversion events tested.",Tech Team,Conditional,Medium,4,,,,,
Phase 3,Tracking,Connect Meta/Facebook Pixel if included,"Pixel installed, lead/booking/application events tested.",Tech Team,Conditional,Medium,4,,,,,
Phase 3,Tracking,Configure UTM capture and reporting,UTM source/medium/campaign fields populate and flow into reporting.,Automation Team,No,High,4,,,,,
Phase 3,Reporting,Build reporting dashboards,"Lead source report, speed-to-lead, appointment show rate, revenue, funding status, credit lifecycle, billing issue, compliance hold.",Tech Team,Conditional,Medium,4,,,,,
