PHASE 2 - AUTOMATIONS,,,,,,,,,,,,,,,,,,,,,,,,,
Phase,Section,Task,Details / Acceptance Criteria,Owner,Blocker,Priority,Due Date,Status,Document Link,Client Note,Dee's Note,Team's Remarks,,,,,,,,,,,,,
Phase 2,Intake & Routing,Build speed-to-lead workflow,"Immediate lead routing, owner assignment, internal notification, first response email/SMS if allowed.",Automation Team,No,Critical,4,,,,,,,,,,,,,,,,,,
Phase 2,Intake & Routing,Build service type tagging workflow,"Apply service tags based on form, funnel, chat, calendar, ManyChat, or manual selection.",Automation Team,No,High,4,,,,,,,,,,,,,,,,,,
Phase 2,Intake & Routing,Build business hours and after-hours logic,Route leads differently during open/closed hours. Create callback tasks after hours.,Automation Team,No,High,4,,,,,,,,,,,,,,,,,,
Phase 2,Phone/SMS,Build inbound call workflow,"Inbound call logs, assigns owner, creates task/notification, updates conversation.",Automation Team,Conditional,High,4,,,,,,,,,,,,,,,,,,
Phase 2,Phone/SMS,Build missed call workflow,"Compliance-safe missed-call text-back, callback task, owner notification, after-hours handling.",Automation Team,Conditional,High,4,,,,,,,,,,,,,,,,,,
Phase 2,Phone/SMS,Build STOP/DNC handler,"Detect STOP/CANCEL/UNSUBSCRIBE, apply DND/DNC, stop active workflows, close conversation, create internal log.",Automation Team,No,Critical,4,,,,,,,,,,,,,,,,,,
Phase 2,Phone/SMS,Build HELP response,Compliant HELP auto-response with business identity/support contact.,Automation Team,No,High,4,,,,,,,,,,,,,,,,,,
Phase 2,Credit Repair Sales,Build booking confirmation workflow,"Email/SMS confirmation if compliant, stage movement, internal notification.",Automation Team,Conditional,High,4,,,,,,,,,,,,,,,,,,
Phase 2,Credit Repair Sales,Build appointment reminders,"24h and 1h reminders, SMS only with consent and approval, email fallback.",Automation Team,Conditional,High,4,,,,,,,,,,,,,,,,,,
Phase 2,Credit Repair Sales,Build no-show recovery,"No-show stage movement, reschedule follow-up, task, nurture if no response.",Automation Team,Conditional,High,4,,,,,,,,,,,,,,,,,,
Phase 2,Credit Repair Sales,Build consultation outcome routing,"Routes qualified, not qualified, agreement sent, nurture, compliance hold, or cancelled outcomes.",Automation Team,Conditional,High,4,,,,,,,,,,,,,,,,,,
Phase 2,Credit Repair Sales,Build agreement sent/viewed/signed workflows,"Agreement reminders, status fields, stage movement, notifications, and next step logic.",Automation Team,Conditional,Critical,4,,,,,,,,,,,,,,,,,,
Phase 2,Credit Repair Sales,Build cooling-off enforcement,Track cooling-off start/end dates and prevent billing/fulfillment advancement until approved timing rules are met.,Automation Team,Conditional,Critical,4,,,,,,,,,,,,,,,,,,
Phase 2,Credit Repair Sales,Build manual billing authorization trigger,Manual billing safeguard for credit repair compliance. No automated charge unless client rules approve.,Automation Team,Conditional,Critical,4,,,,,,,,,,,,,,,,,,
Phase 2,Credit Repair Active,Build pipeline transfer to active lifecycle,Move from agreement/client-ready status into active lifecycle pipeline with onboarding status.,Automation Team,Conditional,High,4,,,,,,,,,,,,,,,,,,
Phase 2,Credit Repair Active,Build onboarding packet reminders,"Send onboarding request, follow-up reminders, incomplete onboarding tasks, document status updates.",Automation Team,Conditional,High,4,,,,,,,,,,,,,,,,,,
