PHASE 5 - QA & DELIVERY,,,,,,,,,,,,
Phase,Section,Task,Details / Acceptance Criteria,Owner,Blocker,Priority,Due Date,Status,Document Link,Client Note,Dee's Note,Team's Remarks
Phase 5,Website QA,Test all website pages,"Home, How It Works, Services, About, FAQ, Schedule, Contact, disclosures, privacy, terms, cancellation, funding pages, 404.",Project Lead,No,Critical,4,,,,,
Phase 5,Website QA,Test page technical quality,"Mobile, desktop, buttons, footer links, SSL, favicon, meta, OG, pixels, GA4, no broken links.",Project Lead,No,Critical,4,,,,,
Phase 5,Form QA,Test all lead/intake forms,"Universal, credit, funding, commercial funding, clarity, onboarding, docs, cancellation, client update, complaint forms.",Project Lead,No,Critical,4,,,,,
Phase 5,Form QA,Confirm form routing,"Contact created, fields updated, tags applied, opportunity created, pipeline/stage correct, owner assigned, notification sent, workflow triggered.",Project Lead,No,Critical,4,,,,,
Phase 5,Pipeline QA,Test all pipelines,"Credit Sales, Credit Active, Funding, Clarity/Education, Support/Risk. Check stages, movement, duplicates, owner, source tracking.",Project Lead,No,Critical,4,,,,,
Phase 5,Workflow QA,Test lead and appointment workflows,"Speed-to-lead, booking confirmation, reminders, no-show, consultation outcome, nurture.",Project Lead,No,Critical,4,,,,,
Phase 5,Workflow QA,Test agreement/onboarding/credit lifecycle workflows,"Agreement sent/signed, cooling-off, manual billing safeguard, onboarding, documents, monitoring, round advancement, cancellation/archive.",Project Lead,Conditional,Critical,4,,,,,
Phase 5,Workflow QA,Test funding workflows,"Document request, docs received, lender submission, terms received, funded, not qualified, nurture.",Project Lead,Conditional,High,4,,,,,
Phase 5,Communication QA,Test phone and SMS,"Inbound/outbound calls, inbound/outbound SMS, voicemail, missed-call text-back, after-hours, STOP, HELP, DND, no-consent block.",Project Lead,Conditional,Critical,4,,,,,
Phase 5,Communication QA,Test email sending,"Gmail, Outlook, reply-to, footer, unsubscribe, suppression, tracking links, spam placement.",Project Lead,Conditional,Critical,4,,,,,
Phase 5,Compliance QA,Verify compliance guardrails,"STOP applies DND, DNC blocks SMS, no-consent SMS blocked, holds stop outbound, cooling-off works, no prohibited claims in pages/templates/AI/voicemail.",Compliance,No,Critical,4,,,,,
Phase 5,Integration QA,Test integrations,"Zapier/Pabbly, DisputeFox, ManyChat, Google Sheets/Drive, Stripe events, Slack/team alerts, social channels, webhooks.",Project Lead,Conditional,High,4,,,,,
Phase 5,Permission QA,Test role permissions,"Admin, Sales, Funding, Credit, Fulfillment, Billing, Compliance, Support, VA. Confirm restrictions and sensitive access controls.",Project Lead,No,High,4,,,,,
Phase 5,Cleanup,Remove test data and unused assets,"Test contacts, opportunities, tags, workflows, draft pages, broken links, placeholder values, duplicate workflows, demo forms, test payments.",Tech Team,No,High,4,,,,,
Phase 5,Delivery,Prepare final delivery package,"Testing log, delivery notes, known limitations, pending approvals, training schedule, walkthrough recording, support handoff, sign-off request, support start date.",Project Lead,No,Critical,4,,,,,
Phase 5,Training,Deliver user training if scheduled,Owner/admin and team-role training based on selected support/training package.,Project Lead,Conditional,High,4,,,,,
Phase 5,Go-Live,Client go-live confirmation,"Client approves launch readiness, open risks documented, final support window activated.",Agency + Client,No,Critical,4,,,,,
