PHASE 0 - ACCESS & LOCK,,,,,,,,,,,,
Phase,Section,Task,Details / Acceptance Criteria,Owner,Blocker,Priority,Due Date,Status,Document Link,Client Note,Dee's Note,Team's Remarks
Phase 0,Internal Setup,Create internal project folder,"Create structured project folder with intake, access, compliance, assets, build, testing, delivery, support, and archive folders.",Agency,No,Critical,4,,,,,
Phase 0,Internal Setup,Create client asset folder,"Create shared/client-facing folder for logos, copy, policies, voice notes, references, screenshots, and brand files.",Agency,No,High,4,,,,,
Phase 0,Internal Setup,Create access tracker,"Set up tracker for GHL, domain, DNS, email admin, payments, Zapier/Pabbly, ManyChat, social, Drive, ad accounts, pixels, and existing CRM.",Agency,No,Critical,4,,,,,
Phase 0,Internal Setup,Create compliance tracker,"Track privacy, terms, refund, cancellation, SMS consent, email unsubscribe, call recording, credit repair disclosures, funding disclaimers, approved/prohibited claims.",Agency,No,Critical,4,,,,,
Phase 0,Internal Setup,Create build checklist,"Create master tracker for all phases, owners, blockers, dependencies, due dates, QA, and sign-off.",Agency,No,Critical,4,,,,,
Phase 0,Internal Setup,Create revision tracker,"Track revisions, bug fixes, out-of-scope requests, approval status, and completion.",Agency,No,Medium,4,,,,,
Phase 0,Internal Setup,Create blocker tracker,"Track blockers, owner, severity, due date, workaround, and resolution status.",Agency,No,Critical,4,,,,,
Phase 0,Internal Setup,Create workflow map,"Prepare workflow map for lead capture, booking, onboarding, funding, credit repair lifecycle, billing, compliance holds, and support.",Agency,No,High,4,,,,,
Phase 0,Internal Setup,Create pipeline map,Map all required pipelines and stages before building.,Agency,No,High,4,,,,,
Phase 0,Client Inputs,Collect legal business name and DBA,"Confirm legal entity, DBA/public brand, authorized representative, and owner.",Client,Yes,Critical,8,,,,,
Phase 0,Client Inputs,Collect business contact and operating info,"Collect address, timezone, currency, support email, support phone, business hours, holiday hours, service areas, and niche category.",Client,Yes,Critical,8,,,,,
Phase 0,Client Inputs,Collect team roster and role assignments,"Collect sales, funding advisor, fulfillment, billing, compliance, support, admin, and VA ownership rules.",Client,Yes,Critical,8,,,,,
Phase 0,Offer Strategy,Collect current offers and pricing,"Collect offer name, price, billing method, payment timing, refund rules, cancellation rules, delivery method, eligibility, required docs, disclosures, included/not included.",Client,Yes,Critical,8,,,,,
Phase 0,Offer Strategy,Collect rough offer ideas if final offers do not exist,"Accept notes, screenshots, voice notes, Google Docs, old funnels, references, draft pricing, and manual process explanations.",Client,Conditional,High,8,,,,,
Phase 0,Compliance Direction,Collect policy URLs or rules,"If privacy/terms/refund/service agreement URLs do not exist, collect current rules and preferences so BES can structure placeholders/pages.",Client,Yes,Critical,8,,,,,
Phase 0,Compliance Direction,Collect credit repair compliance direction,"Agreement template, disclosures, Consumer Credit File Rights Notice, cancellation language, payment rules, onboarding requirements, consent language, ESIGN language if used.",Client,Conditional,Critical,8,,,,,
Phase 0,Compliance Direction,Collect funding compliance direction,"Funding disclosure, eligibility rules, no guarantee language, broker disclosure if applicable, application disclaimers, follow-up messaging rules.",Client,Conditional,Critical,8,,,,,
Phase 0,Access,Collect GHL owner/admin access,Owner/Admin access strongly preferred for full infrastructure build. Limited access can delay or block configuration.,Client,Yes,Critical,8,,,,,
Phase 0,Access,Collect domain/DNS access,"Registrar or DNS access required for domain, SSL, email authentication, tracking domains, and funnel connection.",Client,Yes,Critical,8,,,,,
Phase 0,Access,Collect email admin access,"Google Workspace/Microsoft 365 or provider admin access required for branded email, SPF, DKIM, DMARC, reply-to setup.",Client,Conditional,High,8,,,,,
Phase 0,Access,Collect payment processor access if included,"Stripe/Authorize/PayPal or other processor access required if payments, invoices, subscriptions, or payment workflows are in scope.",Client,Conditional,High,8,,,,,
Phase 0,Access,Collect integration access if included,"Zapier/Pabbly, DisputeFox, ManyChat, Google Drive/Dropbox/OneDrive, social channels, ad accounts, pixels, existing CRM.",Client,Conditional,High,8,,,,,
Phase 0,Brand Assets,Collect brand assets or preferences,"Logo, favicon, colors, fonts, photos, copy, testimonials, disclaimers, social links, screenshots, references. If missing, collect style preferences.",Client,Conditional,Medium,8,,,,,
Phase 0,Strategy Lock,Approve build architecture,"Confirm scope, pipeline structure, entry points, offers, compliance rules, payment rules, SMS rules, integrations, and phase plan before heavy build.",Agency + Client,Yes,Critical,4,,,,,
