PHASE 0 - ACCESS & LOCK,,,,,,,,,,,,
Phase,Section,Task,Details / Acceptance Criteria,Owner,Blocker,Priority,Due Date,Status,Document Link,Client Note,Dee's Note,Team's Remarks
Phase 1,Core Infrastructure,Create/verify GHL sub-account,Sub-account exists and is assigned to correct agency/client environment.,Tech Team,No,Critical,4,,,,,
Phase 1,Core Infrastructure,Complete Business Profile,"Company name, legal name, address, support email, support phone, website, timezone, currency, category, logo, and hours completed.",Tech Team,Yes,Critical,4,,,,,
Phase 1,Core Infrastructure,Configure business hours and after-hours baseline,True operating hours configured. Holiday hours documented if applicable. After-hours logic documented.,Tech Team,Conditional,High,4,,,,,
Phase 1,Core Infrastructure,Configure role-based users and permissions,"Admin, Sales, Funding Advisor, Credit Specialist, Fulfillment, Billing, Compliance, Support, VA roles created and restricted.",Tech Team,Conditional,Critical,4,,,,,
Phase 1,Core Infrastructure,Test user permissions by role,"Log in/test each role. Confirm sales no settings, fulfillment no billing, billing no workflows, support no delete, exports restricted.",Tech Team,No,High,4,,,,,
Phase 1,Core Infrastructure,Configure contact deduplication,"Duplicate by email/phone, merge strategy, owner preservation, workflow restart prevention, manual duplicate review process.",Tech Team,No,High,4,,,,,
Phase 1,Core Infrastructure,Configure opportunity defaults,"Default pipeline, default stage, fallback owner, source tracking, won/lost reasons, opportunity naming format.",Tech Team,No,High,4,,,,,
Phase 1,Core Infrastructure,Create custom values,"Legal name, DBA, support email/phone, address, website, policy URLs, booking links, offer names, social links, business hours, footer, SMS help/opt-out.",Tech Team,Conditional,Critical,4,,,,,
Phase 1,Core Infrastructure,Create custom fields - contact level,"Preferred language, credit goal, score range, state, consent fields, agreement dates, cooling-off, plan terms, DNC reason, lead source, UTM, service type, intake channel, identity verified, risk flag, external links.",Tech Team,No,Critical,4,,,,,
Phase 1,Core Infrastructure,Create custom fields - opportunity level,"Program type, requested amount, revenue range, years in business, docs dates, lender submission date, terms date, funded date, disqualification reason, deal temperature, advisor, hold reason, manual billing, stage dates.",Tech Team,No,Critical,4,,,,,
Phase 1,Core Infrastructure,Create tag library,"Lead, status, compliance, billing, workflow, source, team, and risk tags created using clean naming conventions.",Tech Team,No,Critical,4,,,,,
Phase 1,Domain & SSL,Connect primary domain,Add main website/root domain in GHL or configure appropriate subdomain approach.,Tech Team,Yes,Critical,4,,,,,
Phase 1,Domain & SSL,Connect funnel domain,Configure funnel domain/subdomain and set as default funnel domain where applicable.,Tech Team,Yes,Critical,4,,,,,
Phase 1,Domain & SSL,Configure tracking domain,Set branded tracking domain if email/link tracking is included.,Tech Team,Conditional,High,4,,,,,
Phase 1,Domain & SSL,Verify DNS and SSL,"DNS records verified, SSL active, HTTPS enforced, no redirect loops, propagation checked.",Tech Team,Yes,Critical,4,,,,,
Phase 1,Domain & SSL,Create branded 404 page,"404 page created, assigned, and tested with random URL.",Tech Team,No,Medium,4,,,,,
Phase 1,Email Foundation,Connect branded email domain,Business email matches branded domain. No personal Gmail/Yahoo/Outlook sender in production unless temporary/startup exception.,Tech Team,Conditional,High,4,,,,,
Phase 1,Email Foundation,Configure sending domain authentication,"Dedicated sending domain, SPF, DKIM, DMARC, reply-to, from address, tracking domain, email footer, unsubscribe link.",Tech Team,Conditional,Critical,4,,,,,
Phase 1,Email Foundation,Document email warm-up rules,"Low send limits, no bulk sends during warm-up, segmented sending, suppression behavior, bounce/spam complaint suppression.",Tech Team,Conditional,High,4,,,,,
Phase 1,Phone & SMS Readiness,Purchase/connect phone number,"LC Phone/GHL-native number, local vs toll-free decision, correct country, assigned to sub-account/users, default outbound number.",Tech Team,Conditional,Critical,4,,,,,
Phase 1,Phone & SMS Readiness,Configure call routing baseline,"Inbound routing, outbound caller ID, voicemail, missed-call text-back, after-hours routing, fallback routing.",Tech Team,Conditional,High,4,,,,,
Phase 1,Phone & SMS Readiness,Submit A2P/TFN where required,"A2P brand/campaign registration or toll-free verification submitted with website, privacy, terms, opt-in description, samples, use case.",Agency + Client,Conditional,Critical,4,,,,,
